X,Y,OBJECTID,STATION_ID,OWNER,TTYPE,HULL,NAME,PAYLOAD,LAT,LON,TIMEZONE,FORECAST,NOTE,URL
-75.119,38.7830000000001,"1190",lwsd1,NOS,Water Level Observation Network,,"8557380 - Lewes, DE",,38.783,-75.119,E,FZUS51.KPHI,"Right whales are active off Delaware Bay from November to April.&nbsp; Speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas along the mid-Atlantic coast.&nbsp; To learn more about right whales and rules protecting them, go to: <a href=""http://www.nmfs.noaa.gov/pr/shipstrike"">http://www.nmfs.noaa.gov/pr/shipstrike</a><a href=""http://www.nmfs.noaa.gov/pr/shipstrike"">&nbsp;</a>",http://www.ndbc.noaa.gov/station_page.php?station=lwsd1
-76.465,37.9950000000001,"1191",lwtv2,NOS,Water Level Observation Network,,"8635750 - Lewisetta, VA",,37.995,-76.465,E,FZUS51.KLWX,,http://www.ndbc.noaa.gov/station_page.php?station=lwtv2
-95.079,29.765,"1192",lybt2,TCOON,Water Level Observation Network,,"8770733 - Lynchburg Landing, TX",,29.765,-95.079,C,,,http://www.ndbc.noaa.gov/station_page.php?station=lybt2
-84.7209999999999,45.777,"1193",macm4,NOS,Water Level Observation Network,,"9075080 - Mackinaw City, MI",,45.777,-84.721,E,,,http://www.ndbc.noaa.gov/station_page.php?station=macm4
-97.0289999999999,27.9800000000001,"1194",maqt2,NR,NERRS Water Quality Station,,"Aransas Bay, Mission-Aransas Reserve, TX",,27.98,-97.029,C,,,http://www.ndbc.noaa.gov/station_page.php?station=maqt2
-97.034,28.1320000000001,"1195",maxt2,NR,NERRS Weather Station,,"Copano East, Mission-Aransas Reserve, TX",,28.132,-97.034,C,,"Water Quality data for this Reserve are available at....<br /><a href=""http://www.ndbc.noaa.gov/station_page.php?station=mqmt2"">MQMT2</a> -- Mesquite Bay<br /><a href=""http://www.ndbc.noaa.gov/station_page.php?station=cwqt2"">CWQT2</a> -- Copano Bay East<br /><a href=""http://www.ndbc.noaa.gov/station_page.php?station=maqt2"">MAQT2</a> -- Aransas Bay<br />",http://www.ndbc.noaa.gov/station_page.php?station=maxt2
-96.3269999999999,28.422,"1196",mbet2,NOS,Water Level Observation Network,,"8773767 - Matagorda Bay Entrance Channel, TX",,28.422,-96.327,C,,,http://www.ndbc.noaa.gov/station_page.php?station=mbet2
-77.8679999999999,34.0910000000001,"1197",mbin7,CORMP,C-MAN Station,,"Masonboro Island, NC (MSNB_S)",,34.091,-77.868,E,,,http://www.ndbc.noaa.gov/station_page.php?station=mbin7
-88.011,30.4370000000001,"1198",mbla1,Dauphin Island Sea Lab,Coastal Marine Station,,"Middle Bay Lighthouse, AL",,30.437,-88.011,C,FZUS54.KMOB,,http://www.ndbc.noaa.gov/station_page.php?station=mbla1
-77.824,34.171,"1199",mbnn7,CORMP,C-MAN Station,,"Masonboro Island, NC (MSNB_N)",,34.171,-77.824,E,,,http://www.ndbc.noaa.gov/station_page.php?station=mbnn7
-88.086,30.527,"1200",mbpa1,PT,Water Level Observation Network,,"8736163 - Middle Bay Port, Mobile Bay, AL",,30.527,-88.086,C,,,http://www.ndbc.noaa.gov/station_page.php?station=mbpa1
-82.419,42.9750000000001,"1201",mbrm4,NOS,Water Level Observation Network,,"9014090 - Mouth of the Black River, MI",,42.975,-82.419,E,,,http://www.ndbc.noaa.gov/station_page.php?station=mbrm4
-120.859,35.371,"1202",mbxc1,CP,Water Quality Station,,"Morro Bay - BM1 T-Pier, CA",,35.371,-120.859,P,,"For area forecasts and warnings, select:?<a href=""http://www.wrh.noaa.gov/lox/"">Los Angeles/Oxnard WFO</a>",http://www.ndbc.noaa.gov/station_page.php?station=mbxc1
-88.0579999999999,30.6490000000001,"1203",mcga1,PT,Water Level Observation Network,,"8736897 - Coast Guard Sector Mobile, AL",,30.649,-88.058,C,,,http://www.ndbc.noaa.gov/station_page.php?station=mcga1
-87.379,46.546,"1204",mcgm4,NOS,Water Level Observation Network,,"9099018 - Marquette C.G., MI",,46.546,-87.379,E,FZUS53.KMQT,,http://www.ndbc.noaa.gov/station_page.php?station=mcgm4
-82.425,27.914,"1205",mcyf1,NOS,Water Level Observation Network,,"8726667 - McKay Bay Entrance, FL",,27.914,-82.425,E,FZUS52.KTBW,Station disestablished and removed 5/20/20.,http://www.ndbc.noaa.gov/station_page.php?station=mcyf1
-86.912,41.729,"1206",mcyi3,GLERL,C-MAN Station,,"Michigan City Harbor Entrance Light, Michigan City, IN",,41.729,-86.912,C,FZUS53.KLOT,,http://www.ndbc.noaa.gov/station_page.php?station=mcyi3
-133.814,57.837,"1222",mixa2,MA,Coastal Marine Station,,"Midway Island, AK",,57.837,-133.814,A,,,http://www.ndbc.noaa.gov/station_page.php?station=mixa2
-86.3389999999999,43.227,"1223",mkgm4,GLERL,C-MAN Station,,"Muskegon CG Station, Muskegon, MI",,43.227,-86.339,E,,,http://www.ndbc.noaa.gov/station_page.php?station=mkgm4
-80.376,25.0120000000001,"1224",mlrf1,NDBC,C-MAN Station,,"Molasses Reef, FL",MARS payload,25.012,-80.376,E,FZUS52.KKEY,"On 02/28/2023, Molasses Reef was disestablished due to deteriorating structural conditions. See the notice below for more details.<br style=""text-transform: none; text-indent: 0px; letter-spacing: normal; font-style: normal; font-variant: normal; font-weight: normal; font-size: 13px; line-height: normal; font-family: arial,sans-serif; white-space: normal; color: rgb(0, 0, 0); word-spacing: 0px; background-color: rgb(255, 255, 255);"" /> <p><a href=""https://www.weather.gov/media/notification/pdf_2023_24/scn23-05_ndbc_mlfr1.pdf"">Disestablishment of C-MAN Station MLRF1 - Molasses Reef, Florida</a>",http://www.ndbc.noaa.gov/station_page.php?station=mlrf1
-121.791,36.8020000000001,"1225",mlsc1,ML,Coastal Marine Station,,"Moss Landing, South Harbor, CA",,36.802,-121.791,P,,,http://www.ndbc.noaa.gov/station_page.php?station=mlsc1
-123.62,46.2140000000001,"1226",mlto3,CORIE,C-MAN Station,,"Marsh Island, OR",,46.214,-123.62,P,FZUS56.KPQR,,http://www.ndbc.noaa.gov/station_page.php?station=mlto3
-87.884,43.0050000000001,"1227",mlww3,GLERL,C-MAN Station,,Port of Milwaukee,,43.005,-87.884,C,FZUS53.KMKX,,http://www.ndbc.noaa.gov/station_page.php?station=mlww3
-80.422,25.239,"1228",mnbf1,NP,Water Quality Station,,"Manatee Bay, FL",,25.239,-80.422,E,FZUS52.KKEY,,http://www.ndbc.noaa.gov/station_page.php?station=mnbf1
-87.59,45.0960000000001,"1229",mnmm4,NOS,Water Level Observation Network,,"9087088 - Menominee, MI",,45.096,-87.59,C,,,http://www.ndbc.noaa.gov/station_page.php?station=mnmm4
-76.302,36.7780000000001,"1230",mnpv2,PT,Water Level Observation Network,,"8639348 - Money Point, VA",,36.778,-76.302,E,,Water temperatures at this station may be higher than normally expected due to near-by?industrial activity sites and the physical location?of the sensor.?,http://www.ndbc.noaa.gov/station_page.php?station=mnpv2
-157.79,21.433,"1231",mokh1,NOS,Water Level Observation Network,,"1612480 - Mokuoloe, HI",,21.433,-157.79,H,,,http://www.ndbc.noaa.gov/station_page.php?station=mokh1
-88.6,29.4,"1232",mpcl1,NDBC,C-MAN Station,,Main Pass,,29.4,-88.6,C,,,http://www.ndbc.noaa.gov/station_page.php?station=mpcl1
-96.829,28.138,"1233",mqmt2,NR,NERRS Water Quality Station,,"Mesquite Bay, Mission-Aransas Reserve, TX",,28.138,-96.829,C,,,http://www.ndbc.noaa.gov/station_page.php?station=mqmt2
-97.217,27.5810000000001,"1234",mqtt2,NOS,Water Level Observation Network,,"8775870 - Bob Hall Pier, Corpus Christi, TX",,27.581,-97.217,C,FZUS54.KCRP,,http://www.ndbc.noaa.gov/station_page.php?station=mqtt2
-75.415,39.809,"1235",mrcp1,PT,Water Level Observation Network,,"8540433 - Marcus Hook, PA",,39.809,-75.415,E,,,http://www.ndbc.noaa.gov/station_page.php?station=mrcp1
-82.7309999999999,41.544,"1236",mrho1,NOS,Water Level Observation Network,,"9063079 - Marblehead, OH",,41.544,-82.731,E,FZUS51.KCLE,,http://www.ndbc.noaa.gov/station_page.php?station=mrho1
-146.662,61.0820000000001,"1237",mrka2,NDBC,C-MAN Station,,"Middle Rock Light, AK",Sutron XPERT payload,61.082,-146.662,A,FZAK51.PAFC,,http://www.ndbc.noaa.gov/station_page.php?station=mrka2
-134.257,58.198,"1238",mrna2,MA,Fixed Structure Weather Station,,"Marmion Island, AK",,58.198,-134.257,A,,,http://www.ndbc.noaa.gov/station_page.php?station=mrna2
-122.469,48.4640000000001,"1332",pbfw1,NR,NERRS Weather Station,,"Padilla Bay Farm, Padilla Bay Reserve, WA",,48.464,-122.469,P,,"<p>Water Quality data for this Reserve are available at....<br /> <a href=""http://www.ndbc.noaa.gov/station_page.php?station=pblw1"">PBLW1</a> -- Ploeg Channel<br /><a href=""http://www.ndbc.noaa.gov/station_page.php?station=bvqw1"">BVQW1</a> -- Bayview Channel<br />",http://www.ndbc.noaa.gov/station_page.php?station=pbfw1
-122.53,48.556,"1333",pblw1,NR,NERRS Water Quality Station,,"Ploeg Channel, Padilla Bay Reserve, WA",,48.556,-122.53,P,,,http://www.ndbc.noaa.gov/station_page.php?station=pblw1
-134.148,58.203,"1334",pbpa2,NWS Alaska Region,Weather Station,,"Point Bishop, AK",,58.203,-134.148,A,,"For area forecasts and warnings, select: <a href=""http://pajk.arh.noaa.gov/"">Juneau WFO</a>",http://www.ndbc.noaa.gov/station_page.php?station=pbpa2
-85.8799999999999,30.2130000000001,"1335",pcbf1,NOS,Water Level Observation Network,,"8729210 - Panama City Beach, FL",,30.213,-85.88,E,FZUS52.KTAE,,http://www.ndbc.noaa.gov/station_page.php?station=pcbf1
-97.167,26.0720000000001,"1336",pcgt2,TCOON,Water Level Observation Network,,"8779748 - South Padre Island CGS, TX",,26.072,-97.167,C,,,http://www.ndbc.noaa.gov/station_page.php?station=pcgt2
-87.211,30.4040000000001,"1337",pclf1,NOS,Water Level Observation Network,,"8729840 - Pensacola, FL",,30.404,-87.211,C,FZUS54.KMOB,,http://www.ndbc.noaa.gov/station_page.php?station=pclf1
-88.528,47.2760000000001,"1338",pclm4,CE,GLOS Weather Station,,"Portage Canal, MI",,47.276,-88.528,E,,"For Great Lakes marine forecasts, select: <a href=""http://www.nws.noaa.gov/om/marine/forecast.htm#glf"">GREAT LAKES FORECASTS</a>",http://www.ndbc.noaa.gov/station_page.php?station=pclm4
-134.178,58.159,"1331",paxa2,MA,C-MAN Station,,"Point Arden, AK",,58.159,-134.178,A,,,http://www.ndbc.noaa.gov/station_page.php?station=paxa2
-96.396,28.446,"1339",pcnt2,TCOON,Water Level Observation Network,,"8773701 - Port O'Connor, Matagorda Bay, TX",,28.446,-96.396,C,,,http://www.ndbc.noaa.gov/station_page.php?station=pcnt2
-122.039,38.056,"1340",pcoc1,NOS,Water Level Observation Network,,"9415144 - Port Chicago, CA",,38.056,-122.039,P,FZUS56.KMTR,,http://www.ndbc.noaa.gov/station_page.php?station=pcoc1
-134.867,57.4630000000001,"1341",pcxa2,MA,C-MAN Station,,"Point Craven MXAK, AK",,57.463,-134.867,A,,,http://www.ndbc.noaa.gov/station_page.php?station=pcxa2
-71.41,41.611,"1342",pdvr1,PT,C-MAN Station,,"8454123 - Port of Davisville, RI",,41.611,-71.41,E,,,http://www.ndbc.noaa.gov/station_page.php?station=pdvr1
-80.116,26.0860000000001,"1343",pegf1,PT,Water Level Observation Network,,"8722956 - Port Everglades, FL",,26.086,-80.116,E,,,http://www.ndbc.noaa.gov/station_page.php?station=pegf1
-136.227,57.958,"1344",pexa2,MA,C-MAN Station,,"Pelican MXAK, AK",,57.958,-136.227,A,,,http://www.ndbc.noaa.gov/station_page.php?station=pexa2
-118.241,33.7350000000001,"1345",pfdc1,PT,Water Level Observation Network,,"9410666 - Los Angeles Pier 400, CA",,33.735,-118.241,P,,,http://www.ndbc.noaa.gov/station_page.php?station=pfdc1
-118.215,33.7470000000001,"1346",pfxc1,PT,Water Level Observation Network,,"9410670 - Los Angeles Pier F, CA",,33.747,-118.215,P,,,http://www.ndbc.noaa.gov/station_page.php?station=pfxc1
-134.618,57.0160000000001,"1347",pgxa2,MA,C-MAN Station,,Point Gardner,,57.016,-134.618,A,,,http://www.ndbc.noaa.gov/station_page.php?station=pgxa2
-75.1419999999999,39.933,"1348",phbp1,NOS,Water Level Observation Network,,"8545240 - Philadelphia, PA",,39.933,-75.142,E,FZUS51.KPHI,,http://www.ndbc.noaa.gov/station_page.php?station=phbp1
-149.47,59.7420000000001,"1349",pila2,NDBC,C-MAN Station,,"Pilot Rock, AK",MARS payload,59.742,-149.47,A,FZAK51.PAFC,,http://www.ndbc.noaa.gov/station_page.php?station=pila2
-89.259,29.179,"1350",pill1,PT,Water Level Observation Network,,"8760721 - Pilottown, LA",,29.179,-89.259,C,,,http://www.ndbc.noaa.gov/station_page.php?station=pill1
-88.366,48.2230000000001,"1351",pilm4,NDBC,C-MAN Station,,"Passage Island, MI",MARS payload,48.223,-88.366,E,FZUS63.KMQT,,http://www.ndbc.noaa.gov/station_page.php?station=pilm4
-80.747,24.9180000000001,"1353",pkyf1,NP,Water Quality Station,,"Peterson Key, FL",,24.918,-80.747,E,FZUS52.KKEY,"Water levels are referenced to local datums.&nbsp; They provide relative change in water level and are not to be used for navigation.",http://www.ndbc.noaa.gov/station_page.php?station=pkyf1
-82.773,24.693,"1354",plsf1,NDBC,C-MAN Station,,"Pulaski Shoals Light, FL",ARES payload,24.693,-82.773,C,FZUS52.KKEY,"On 02/28/2023, the Pulaski Shoals Light was disestablished due to deteriorating structural conditions. See the notice below for more details.<br style=""text-transform: none; text-indent: 0px; letter-spacing: normal; font-style: normal; font-variant: normal; font-weight: normal; font-size: 13px; line-height: normal; font-family: arial,sans-serif; white-space: normal; color: rgb(0, 0, 0); word-spacing: 0px; background-color: rgb(255, 255, 255);"" /> <p><a href=""https://www.weather.gov/media/notification/pdf_2023_24/scn23-06_ndbc_plsf1.pdf"">Disestablishment of C-MAN Station PLSF1 - Pulaski Shoals Light, Florida</a>",http://www.ndbc.noaa.gov/station_page.php?station=plsf1
-66.7619999999999,17.9730000000001,"1355",plsp4,PN,Water Level Observation Network,,"9758053 - Penuelas, PR",,17.973,-66.762,A,,,http://www.ndbc.noaa.gov/station_page.php?station=plsp4
-134.647,56.2470000000001,"1356",plxa2,NOS,Water Level Observation Network,,"9451054 - Port Alexander, AK",,56.247,-134.647,A,,,http://www.ndbc.noaa.gov/station_page.php?station=plxa2
-82.562,27.638,"1357",pmaf1,PT,Water Level Observation Network,,"8726384 - Port Manatee, FL",,27.638,-82.562,E,,"For area forecasts and warnings, select: <a href=""http://www.srh.noaa.gov/tbw/"">Tampa Bay WFO</a>",http://www.ndbc.noaa.gov/station_page.php?station=pmaf1
-97.424,26.559,"1358",pmnt2,TCOON,Water Level Observation Network,,"8778490 - Port Mansfield, TX",,26.559,-97.424,C,,,http://www.ndbc.noaa.gov/station_page.php?station=pmnt2
-160.562,55.9900000000001,"1359",pmoa2,NOS,Water Level Observation Network,,"9463502 - Port Moller, AK",,55.99,-160.562,A,,"Forecasts for this area are available at <a title=""WFO Anchorage, AK"" href=""http://pafc.arh.noaa.gov/index.php?index=southwest"">WFO Anchorage, AK</a><br />",http://www.ndbc.noaa.gov/station_page.php?station=pmoa2
-91.386,46.792,"1360",pngw3,CE,GLOS Weather Station,,"Port Wing, WI",,46.792,-91.386,C,,"For Great Lakes marine forecasts, select: <a href=""http://www.nws.noaa.gov/om/marine/forecast.htm#glf"">GREAT LAKES FORECASTS</a>",http://www.ndbc.noaa.gov/station_page.php?station=pngw3
-85.869,45.9680000000001,"1361",pnlm4,NOS,Water Level Observation Network,,"9087096 - Port Inland, MI",,45.968,-85.869,E,,,http://www.ndbc.noaa.gov/station_page.php?station=pnlm4
-88.563,30.3680000000001,"1362",pnlm6,NOS,Water Level Observation Network,,"8741533 - Pascagoula NOAA Lab, MS",,30.368,-88.563,C,,,http://www.ndbc.noaa.gov/station_page.php?station=pnlm6
-124.498,42.739,"1363",poro3,NOS,Water Level Observation Network,,"9431647 - Port Orford, OR",,42.739,-124.498,P,FZUS56.KMFR,,http://www.ndbc.noaa.gov/station_page.php?station=poro3
-93.931,29.8670000000001,"1364",port2,TCOON,Water Level Observation Network,,"8770475 - Port Arthur, TX",,29.867,-93.931,C,,,http://www.ndbc.noaa.gov/station_page.php?station=port2
-92.136,46.672,"1352",pkbw3,NR,NERRS Weather Station,,"Pokegama Bay, Lake Superior Reserve, WI",,46.672,-92.136,C,,"Water Quality data for this Reserve are available at....<br /><a href=""http://www.ndbc.noaa.gov/station_page.php?station=bilw3"">BILW3</a> -- Barker's Island<br />",http://www.ndbc.noaa.gov/station_page.php?station=pkbw3
-146.7,61.0600000000001,"1365",pota2,NDBC,C-MAN Station,,"Potato Point, AK",Sutron XPERT payload,61.06,-146.7,A,FZAK51.PAFC,,http://www.ndbc.noaa.gov/station_page.php?station=pota2
-87.556,30.2790000000001,"1366",ppta1,Dauphin Island Sea Lab,Water Quality Station,,"Perdido Pass, AL",,30.279,-87.556,C,,,http://www.ndbc.noaa.gov/station_page.php?station=ppta1
-78.9159999999999,33.6560000000001,"1239",mros1,NOS,Water Level Observation Network,,"8661070 - Springmaid Pier, SC",,33.656,-78.916,E,FZUS52.KILM,"Right whales are active off SC from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater within the vicinity of this station between November 1 and April 30.&nbsp; It is illegal to approach right whales within 500 yards. To learn more about right whales and rules protecting them, go to: <a href=""http://www.nmfs.noaa.gov/pr/shipstrike"">http://www.nmfs.noaa.gov/pr/shipstrike</a>.",http://www.ndbc.noaa.gov/station_page.php?station=mros1
-92.061,29.441,"1240",mrsl1,LSU CSI,Shorebased Tower,,"Marsh Island, LA / CSI03",,29.441,-92.061,C,FZUS54.KLCH,,http://www.ndbc.noaa.gov/station_page.php?station=mrsl1
-131.182,55.099,"1241",mrya2,MA,Fixed Structure Weather Station,,"Mary Island, AK",,55.099,-131.182,A,,,http://www.ndbc.noaa.gov/station_page.php?station=mrya2
-83.956,28.184,"1242",msg10,MS,Test station,,Mississippi State University Wave Glider - MSG10,,28.184,-83.956,?,,"Data from this station are not quality controlled by NDBC<br /><br />Click?<a title=""here"" style=""color: rgb(0, 51, 153); font-family: arial,helvetica,sans-serif;"" href=""http://www.ndbc.noaa.gov/nws_special/msg10.txt"" shape=""rect"">here</a>?to see latest positions.",http://www.ndbc.noaa.gov/station_page.php?station=msg10
